region_id,region,zip
99671,98262; WA; Bellingham; Whatcom County; Lummi Island,98262
99670,98261; WA; San Juan County; Eastsound,98261
99669,98260; WA; Oak Harbor; Island County; Langley,
99667,98258,98258
99666,98257; WA; Mount Vernon-Anacortes; Skagit County; La Conner,98257
99665,98256; WA; Seattle-Tacoma-Bellevue; Snohomish County; Index,98256
99664,98255; WA; Mount Vernon-Anacortes; Skagit County; Hamilton,98255
99663,98253; WA; Oak Harbor; Island County; Greenbank,98253
99662,98252; WA; Seattle-Tacoma-Bellevue; Snohomish County; Granite Falls,98252
99661,98251; WA; Seattle-Tacoma-Bellevue; Snohomish County; Gold Bar,98251
99660,98250; WA; San Juan County; Friday Harbor,98250
99659,98249; WA; Oak Harbor; Island County; Freeland,
99658,98248; WA; Bellingham; Whatcom County; Ferndale,98248
99657,98247; WA; Bellingham; Whatcom County; Everson,98247
99656,98245; WA; San Juan County; Eastsound,98245
99655,98244; WA; Bellingham; Whatcom County; Deming,98244
99653,98241; WA; Seattle-Tacoma-Bellevue; Snohomish County; Darrington,98241
99652,98240; WA; Bellingham; Whatcom County; Custer,98240
99651,98239; WA; Oak Harbor; Island County; Coupeville,98239
99649,98237; WA; Mount Vernon-Anacortes; Skagit County; Concrete,98237
99648,98236; WA; Oak Harbor; Island County; Clinton,98236
99647,98235; WA; Mount Vernon-Anacortes; Skagit County; Mount Vernon,98235
99646,98233; WA; Mount Vernon-Anacortes; Skagit County; Burlington,98233
99645,98232; WA; Mount Vernon-Anacortes; Skagit County; Bow,98232
99643,98230; WA; Bellingham; Whatcom County; Blaine,98230
99642,98229; WA; Bellingham; Whatcom County,98229
99639,98226; WA; Bellingham; Whatcom County,98226
99638,98225; WA; Bellingham; Whatcom County,98225
99637,98224; WA; Seattle-Tacoma-Bellevue; Snohomish County; Gold Bar,98224
99636,98223,98223
99635,98222; WA; San Juan County; Olga,98222
99634,98221; WA; Mount Vernon-Anacortes; Skagit County; Anacortes,98221
99633,98220; WA; Bellingham; Whatcom County; Acme,98220
99631,98208,98208
99629,98206; WA; Oak Harbor; Island County; Clinton,
99627,98204; WA; Seattle-Tacoma-Bellevue; Snohomish County; Paine Field-Lake Stickney,98204
99626,98203; WA; Seattle-Tacoma-Bellevue; Snohomish County; Everett,98203
99625,98201,98201
99624,98199,98199
99623,98198,98198
99618,98188; WA; Seattle-Tacoma-Bellevue; King County; Seatac,
99614,98178,98178
99613,98177,98177
99608,98168; WA; Seattle-Tacoma-Bellevue; King County; Burien,
99607,98166; WA; Seattle-Tacoma-Bellevue; King County; Burien,98166
99605,98164; WA; Seattle-Tacoma-Bellevue; King County; Seattle,98164
99601,98155,98155
99598,98148; WA; Seattle-Tacoma-Bellevue; King County; Burien,
99597,98146,98146
99595,98144,98144
99591,98136; WA; Seattle-Tacoma-Bellevue; King County; Seattle,98136
99590,98134; WA; Seattle-Tacoma-Bellevue; King County; Seattle,98134
99589,98133,98133
99584,98126; WA; Seattle-Tacoma-Bellevue; King County; Seattle,98126
99583,98125,98125
99581,98122,98122
99580,98121,98121
99579,98119,
99578,98118,98118
99577,98117,98117
99576,98116,98116
99575,98115,98115
99572,98112,98112
99570,98110; WA; Bremerton-Silverdale; Kitsap County; Bainbridge Island,98110
99569,98109,98109
99568,98108,98108
99567,98107,98107
99566,98106,98106
99565,98105; WA; Seattle-Tacoma-Bellevue; King County; Seattle,98105
99564,98104,98104
99563,98103,98103
99562,98102,98102
99561,98101,98101
99559,98092; WA; Seattle-Tacoma-Bellevue; King County; Auburn,
99557,98087,98087
99554,98077; WA; Seattle-Tacoma-Bellevue; King County; Woodinville,98077
99553,98075,98075
99552,98074; WA; Seattle-Tacoma-Bellevue; King County; Sammamish,98074
99550,98072; WA; Seattle-Tacoma-Bellevue; King County; Woodinville,98072
99548,98070; WA; Seattle-Tacoma-Bellevue; King County; Vashon,98070
99547,98068; WA; Ellensburg; Kittitas County; Snoqualmie Pass,98068
99546,98065; WA; Seattle-Tacoma-Bellevue; King County; Snoqualmie,98065
99541,98059,98059
99540,98058,98058
99539,98057; WA; Seattle-Tacoma-Bellevue; King County; Renton,98057
99538,98056,98056
99537,98055,98055
99535,98053,98053
99534,98052,98052
99533,98051; WA; Seattle-Tacoma-Bellevue; King County; Ravensdale,98051
99532,98050; WA; Seattle-Tacoma-Bellevue; King County; Issaquah,98050
99531,98047; WA; Seattle-Tacoma-Bellevue; King County; Pacific,98047
99529,98045; WA; Seattle-Tacoma-Bellevue; King County; North Bend,
99528,98043,98043
99527,98042,98042
99525,98040,98040
99524,98039; WA; Seattle-Tacoma-Bellevue; King County; Medina,98039
99523,98038,98038
99522,98037; WA; Seattle-Tacoma-Bellevue; Snohomish County; Lynnwood,98037
99521,98036,98036
99519,98034,98034
99518,98033,98033
99517,98032,98032
99516,98031,98031
99515,98030,98030
99514,98029,98029
99513,98028; WA; Seattle-Tacoma-Bellevue; King County; Kenmore,98028
99512,98027; WA; Seattle-Tacoma-Bellevue; King County; Issaquah,98027
99511,98026,98026
99509,98024; WA; Seattle-Tacoma-Bellevue; King County; Fall City,
99508,98023,98023
99507,98022; WA; Seattle-Tacoma-Bellevue; King County; Enumclaw,98022
99506,98021; WA; Seattle-Tacoma-Bellevue; Snohomish County; Bothell,98021
99505,98020,98020
99504,98019; WA; Seattle-Tacoma-Bellevue; King County; Duvall,98019
99502,98014; WA; Seattle-Tacoma-Bellevue; King County; Carnation,98014
99500,98012,98012
995,Donley County; TX,
99499,98011,98011
99498,98010; WA; Seattle-Tacoma-Bellevue; King County; Black Diamond,98010
99496,98008,98008
99495,98007,98007
99494,98006,98006
99493,98005,98005
99492,98004,98004
99491,98003; WA; Seattle-Tacoma-Bellevue; King County; Federal Way,98003
99490,98002,98002
99489,98001; WA; Seattle-Tacoma-Bellevue; King County; Auburn,
99488,97920; OR; Ontario; Malheur County; Westfall,97920
99487,97918; OR; Ontario; Malheur County; Vale,97918
99485,97914; OR; Ontario; Malheur County,97914
99484,97913; OR; Ontario; Malheur County; Nyssa,97913
99483,97911; OR; Ontario; Malheur County; Juntura,97911
99482,97910; OR; Ontario; Malheur County; Jordan Valley,97910
99481,97909; OR; Ontario; Malheur County; Vale,97909
99480,97908; OR; Ontario; Malheur County; Ironside,97908
99479,97907; OR; Baker County; Huntington,97907
99478,97906; OR; Ontario; Malheur County; Harper,97906
99477,97905; OR; Baker County; Durkee,97905
